COMMAND	PID	USER	FD	TYPE	NODE	NAME
systemd	1	root	cwd	DIR	2	/
systemd	1	root	rtd	DIR	2	/
systemd	1	root	txt	REG	142475	/usr/lib/systemd/systemd
systemd	1	root	mem	REG	144211	/usr/lib/x86_64-linux-gnu/libm-2.31.so
systemd	1	root	mem	REG	144704	/usr/lib/x86_64-linux-gnu/libudev.so.1.6.17
systemd	1	root	mem	REG	144710	/usr/lib/x86_64-linux-gnu/libunistring.so.2.1.0
systemd	1	root	mem	REG	143947	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.28.0
systemd	1	root	mem	REG	144160	/usr/lib/x86_64-linux-gnu/libjson-c.so.4.0.0
systemd	1	root	mem	REG	143480	/usr/lib/x86_64-linux-gnu/libargon2.so.1
systemd	1	root	mem	REG	143703	/usr/lib/x86_64-linux-gnu/libdevmapper.so.1.02.1
systemd	1	root	mem	REG	144737	/usr/lib/x86_64-linux-gnu/libuuid.so.1.3.0
systemd	1	root	DEL	REG	/usr/lib/x86_64-linux-gnu/libcrypto.so.1.1	
systemd	1	root	mem	REG	143590	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0
systemd	1	root	mem	REG	143706	/usr/lib/x86_64-linux-gnu/libdl-2.31.so
systemd	1	root	mem	REG	144416	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.9.0
systemd	1	root	mem	REG	144473	/usr/lib/x86_64-linux-gnu/libpthread-2.31.so
systemd	1	root	mem	REG	144208	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.4
systemd	1	root	mem	REG	144206	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.2
systemd	1	root	mem	REG	144128	/usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0
systemd	1	root	mem	REG	144115	/usr/lib/x86_64-linux-gnu/libidn2.so.0.3.6
systemd	1	root	mem	REG	143871	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.2.5
systemd	1	root	mem	REG	143654	/usr/lib/x86_64-linux-gnu/libcryptsetup.so.12.5.0
systemd	1	root	mem	REG	143651	/usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0
systemd	1	root	mem	REG	143592	/usr/lib/x86_64-linux-gnu/libcap.so.2.32
systemd	1	root	mem	REG	143548	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
systemd	1	root	mem	REG	143459	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2253
systemd	1	root	mem	REG	143469	/usr/lib/x86_64-linux-gnu/libapparmor.so.1.6.1
