COMMAND                               PID              USER   FD      TYPE         NODE NAME
systemd                                 1              root  cwd       DIR         2 /
systemd                                 1              root root       DIR         2 /
systemd                                 1              root  exe       REG    142475 /usr/lib/systemd/systemd
systemd                                 1              root  mem       REG    144211 /usr/lib/x86_64-linux-gnu/libm-2.31.so
systemd                                 1              root  mem       REG    144704 /usr/lib/x86_64-linux-gnu/libudev.so.1.6.17
systemd                                 1              root  mem       REG    144710 /usr/lib/x86_64-linux-gnu/libunistring.so.2.1.0
systemd                                 1              root  mem       REG    143947 /usr/lib/x86_64-linux-gnu/libgpg-error.so.0.28.0
systemd                                 1              root  mem       REG    144160 /usr/lib/x86_64-linux-gnu/libjson-c.so.4.0.0
systemd                                 1              root  mem       REG    143480 /usr/lib/x86_64-linux-gnu/libargon2.so.1
systemd                                 1              root  mem       REG    143703 /usr/lib/x86_64-linux-gnu/libdevmapper.so.1.02.1
systemd                                 1              root  mem       REG    144737 /usr/lib/x86_64-linux-gnu/libuuid.so.1.3.0
systemd                                 1              root  DEL       REG    137998 /usr/lib/x86_64-linux-gnu/libcrypto.so.1.1 (deleted)
systemd                                 1              root  mem       REG    143590 /usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0
systemd                                 1              root  mem       REG    143706 /usr/lib/x86_64-linux-gnu/libdl-2.31.so
systemd                                 1              root  mem       REG    144416 /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.9.0
systemd                                 1              root  mem       REG    144473 /usr/lib/x86_64-linux-gnu/libpthread-2.31.so
systemd                                 1              root  mem       REG    144208 /usr/lib/x86_64-linux-gnu/liblzma.so.5.2.4
systemd                                 1              root  mem       REG    144206 /usr/lib/x86_64-linux-gnu/liblz4.so.1.9.2
systemd                                 1              root  mem       REG    144128 /usr/lib/x86_64-linux-gnu/libip4tc.so.2.0.0
systemd                                 1              root  mem       REG    144115 /usr/lib/x86_64-linux-gnu/libidn2.so.0.3.6
systemd                                 1              root  mem       REG    143871 /usr/lib/x86_64-linux-gnu/libgcrypt.so.20.2.5
systemd                                 1              root  mem       REG    143654 /usr/lib/x86_64-linux-gnu/libcryptsetup.so.12.5.0
systemd                                 1              root  mem       REG    143651 /usr/lib/x86_64-linux-gnu/libcrypt.so.1.1.0
systemd                                 1              root  mem       REG    143592 /usr/lib/x86_64-linux-gnu/libcap.so.2.32
systemd                                 1              root  mem       REG    143548 /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
systemd                                 1              root  mem       REG    143459 /usr/lib/x86_64-linux-gnu/libacl.so.1.1.2253
systemd                                 1              root  mem       REG    143469 /usr/lib/x86_64-linux-gnu/libapparmor.so.1.6.1
systemd                                 1              root  mem       REG    144168 /usr/lib/x86_64-linux-gnu/libkmod.so.2.3.5
systemd                                 1              root  mem       REG    143508 /usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0
systemd                                 1              root  mem       REG    144377 /usr/lib/x86_64-linux-gnu/libpam.so.0.84.2
systemd                                 1              root  mem       REG    144234 /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
systemd                                 1              root  mem       REG    144570 /usr/lib/x86_64-linux-gnu/libselinux.so.1
systemd                                 1              root  mem       REG    144567 /usr/lib/x86_64-linux-gnu/libseccomp.so.2.4.3
systemd                                 1              root  mem       REG    144534 /usr/lib/x86_64-linux-gnu/librt-2.31.so
systemd                                 1              root  mem       REG    142472 /usr/lib/systemd/libsystemd-shared-245.so
systemd                                 1              root  mem       REG    143571 /usr/lib/x86_64-linux-gnu/libc-2.31.so
systemd                                 1              root  mem       REG    143357 /usr/lib/x86_64-linux-gnu/ld-2.31.so
systemd                                 1              root    0u      CHR            6 /dev/null
systemd                                 1              root    1u      CHR            6 /dev/null
systemd                                 1              root    2u      CHR            6 /dev/null
systemd                                 1              root    3w      CHR           12 /dev/kmsg
systemd                                 1              root    4u  unknown        12123 [eventpoll]
systemd                                 1              root    5u  unknown        12123 [signalfd]
systemd                                 1              root    6r  unknown        12123 inotify
systemd                                 1              root    7r      DIR            1 /sys/fs/cgroup/unified
systemd                                 1              root    8u  unknown        12123 [timerfd]
systemd                                 1              root    9u  unknown        12123 [eventpoll]
systemd                                 1              root   10r      REG        15169 /proc/1/mountinfo
systemd                                 1              root   11r  unknown        12123 inotify
systemd                                 1              root   12u     SOCK        38219 socket:[38219]
systemd                                 1              root   13r  unknown        12123 inotify
systemd                                 1              root   14r      REG   4026532074 /proc/swaps
systemd                                 1              root   15u     SOCK        15170 socket:[15170]
systemd                                 1              root   16u     SOCK        15171 socket:[15171]
systemd                                 1              root   17u     SOCK        15172 socket:[15172]
systemd                                 1              root   18u     SOCK        15173 socket:[15173]
systemd                                 1              root   19u     SOCK        15174 socket:[15174]
systemd                                 1              root   20u     SOCK        15176 socket:[15176]
systemd                                 1              root   21u     SOCK        32040 socket:[32040]
systemd                                 1              root   22u     SOCK        32041 socket:[32041]
systemd                                 1              root   23u     SOCK        32170 socket:[32170]
systemd                                 1              root   24u     SOCK        38257 socket:[38257]
systemd                                 1              root   25r  unknown        12123 inotify
systemd                                 1              root   26r      CHR          370 /dev/autofs
systemd                                 1              root   27r     FIFO        15183 pipe:[15183]
systemd                                 1              root   28u  unknown        12123 [timerfd]
systemd                                 1              root   29u     SOCK        15185 socket:[15185]
systemd                                 1              root   30u     SOCK        15187 socket:[15187]
systemd                                 1              root   31u     FIFO          274 /run/initctl
systemd                                 1              root   32u     SOCK        15194 socket:[15194]
systemd                                 1              root   33u     SOCK        15195 socket:[15195]
systemd                                 1              root   34u     SOCK        15197 socket:[15197]
systemd                                 1              root   35u     SOCK        15199 socket:[15199]
systemd                                 1              root   36u     SOCK        15201 socket:[15201]
systemd                                 1              root   37u     SOCK        15203 socket:[15203]
systemd                                 1              root   38u  unknown        12123 bpf-prog
systemd                                 1              root   39u  unknown        12123 bpf-prog
systemd                                 1              root   40u     SOCK        15762 socket:[15762]
systemd                                 1              root   41u     SOCK        15885 socket:[15885]
systemd                                 1              root   42u  unknown        12123 bpf-prog
systemd                                 1              root   43u  unknown        12123 bpf-prog
systemd                                 1              root   44u     SOCK        16778 socket:[16778]
systemd                                 1              root   45r  unknown        12123 inotify
systemd                                 1              root   46u      CHR            4 /dev/rfkill
systemd                                 1              root   47u  unknown        12123 [timerfd]
systemd                                 1              root   48u     SOCK        38258 socket:[38258]
systemd                                 1              root   49u     SOCK        20359 socket:[20359]
systemd                                 1              root   50u     SOCK        20488 socket:[20488]
systemd                                 1              root   51u     SOCK        21040 socket:[21040]
systemd                                 1              root   52u     SOCK        21050 socket:[21050]
systemd                                 1              root   53u     SOCK       221388 socket:[221388]
systemd                                 1              root   54u     SOCK        21062 socket:[21062]
systemd                                 1              root   55u     SOCK        21074 socket:[21074]
systemd                                 1              root   56u     SOCK        21076 socket:[21076]
systemd                                 1              root   57u     SOCK        21078 socket:[21078]
systemd                                 1              root   58u     SOCK        21357 socket:[21357]
systemd                                 1              root   59u     SOCK        22813 socket:[22813]
systemd                                 1              root   60r  unknown        12123 inotify
systemd                                 1              root   61u  unknown        12123 bpf-prog
systemd                                 1              root   62u  unknown        12123 bpf-prog
systemd                                 1              root   63u     SOCK        21149 socket:[21149]
systemd                                 1              root   64u     SOCK        21282 socket:[21282]
systemd                                 1              root   65u     SOCK        25170 socket:[25170]
systemd                                 1              root   66u     SOCK        39560 socket:[39560]
systemd                                 1              root   67u     SOCK        21529 socket:[21529]
systemd                                 1              root   68u     SOCK        21592 socket:[21592]
systemd                                 1              root   69u     SOCK       221558 socket:[221558]
systemd                                 1              root   70u     SOCK        21716 socket:[21716]
systemd                                 1              root   71u     SOCK        23578 socket:[23578]
systemd                                 1              root   72u      CHR          343 /dev/input/event5
systemd                                 1              root   73u     SOCK        24643 socket:[24643]
systemd                                 1              root   74u     SOCK        31121 socket:[31121]
systemd                                 1              root   75u     SOCK        24303 socket:[24303]
systemd                                 1              root   76u     SOCK        22316 socket:[22316]
systemd                                 1              root   77u     SOCK        31122 socket:[31122]
systemd                                 1              root   78u     SOCK        22486 socket:[22486]
systemd                                 1              root   79u     SOCK        22552 socket:[22552]
systemd                                 1              root   80u     SOCK        22588 socket:[22588]
systemd                                 1              root   81u     SOCK        22657 socket:[22657]
systemd                                 1              root   82u     SOCK        26654 socket:[26654]
